epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1947,2.07904,1.45661,1.71239,0.57542,0.63905,0.55072,0.19881,2.28007,1.3926,2.00811,0.000553538,0.000553538,0.000553538
2,91.7072,2.05644,1.28618,1.68166,0.66258,0.6666,0.62918,0.22292,2.25836,1.31786,1.95409,0.00109822,0.00109822,0.00109822
3,136.026,2.05404,1.27774,1.68729,0.68141,0.66946,0.68325,0.24253,2.26706,1.33345,1.97993,0.00163191,0.00163191,0.00163191
4,180.262,2.03581,1.22683,1.67772,0.67226,0.71653,0.63842,0.22221,2.24182,1.29139,1.95112,0.00161749,0.00161749,0.00161749
5,224.292,2.01768,1.20694,1.68279,0.71579,0.68244,0.69739,0.2553,2.22352,1.20513,1.92906,0.00160099,0.00160099,0.00160099
6,268.538,2.0105,1.19142,1.67933,0.65054,0.70047,0.61482,0.22899,2.18426,1.29105,1.90801,0.00158448,0.00158448,0.00158448
7,312.708,1.99708,1.17476,1.67073,0.70455,0.70308,0.70403,0.25719,2.19795,1.19617,1.90231,0.00156798,0.00156798,0.00156798
8,356.662,1.97807,1.15644,1.65756,0.661,0.70815,0.70918,0.2629,2.21656,1.19877,1.92012,0.00155148,0.00155148,0.00155148
9,400.776,1.98231,1.14239,1.66283,0.69636,0.73699,0.68838,0.25442,2.17495,1.17395,1.88824,0.00153497,0.00153497,0.00153497
10,444.887,1.97093,1.11699,1.65145,0.68836,0.71794,0.69285,0.25456,2.18736,1.17282,1.91255,0.00151847,0.00151847,0.00151847
11,489.079,1.97781,1.12249,1.65538,0.68374,0.73067,0.69748,0.25491,2.20109,1.19091,1.93496,0.00150197,0.00150197,0.00150197
12,533.456,1.95468,1.09902,1.64451,0.69182,0.74617,0.71097,0.26879,2.18766,1.15341,1.92629,0.00148546,0.00148546,0.00148546
13,577.762,1.9639,1.09101,1.66081,0.7068,0.72944,0.70797,0.26157,2.1801,1.16892,1.9305,0.00146896,0.00146896,0.00146896
14,621.728,1.94604,1.09678,1.6328,0.69606,0.72067,0.71652,0.26591,2.1923,1.1417,1.89562,0.00145246,0.00145246,0.00145246
15,665.549,1.93919,1.07968,1.63246,0.69803,0.73862,0.7009,0.25491,2.22668,1.11527,1.95895,0.00143595,0.00143595,0.00143595
16,709.428,1.94365,1.06778,1.64623,0.70787,0.73223,0.72864,0.27113,2.18396,1.12574,1.90159,0.00141945,0.00141945,0.00141945
17,753.402,1.94188,1.08609,1.64312,0.69807,0.74252,0.73125,0.27932,2.16393,1.10186,1.90797,0.00140295,0.00140295,0.00140295
18,797.424,1.94345,1.06717,1.63915,0.72274,0.74393,0.7152,0.26395,2.18714,1.07304,1.92356,0.00138644,0.00138644,0.00138644
19,841.208,1.93543,1.04861,1.63833,0.6989,0.74973,0.71514,0.26692,2.18305,1.09645,1.91459,0.00136994,0.00136994,0.00136994
20,885.384,1.92462,1.04743,1.62722,0.69947,0.73799,0.73645,0.27409,2.19838,1.112,1.9248,0.00135344,0.00135344,0.00135344
21,929.157,1.92837,1.05094,1.63513,0.70414,0.76433,0.725,0.2718,2.17525,1.07211,1.89644,0.00133693,0.00133693,0.00133693
22,973.549,1.92827,1.03969,1.63187,0.69996,0.74781,0.71834,0.26792,2.19299,1.09074,1.92925,0.00132043,0.00132043,0.00132043
23,1017.45,1.9261,1.03277,1.63715,0.70386,0.74515,0.72676,0.27743,2.16326,1.11467,1.91255,0.00130393,0.00130393,0.00130393
24,1061.43,1.9196,1.03151,1.6288,0.70116,0.75148,0.74411,0.28103,2.18821,1.07532,1.92221,0.00128742,0.00128742,0.00128742
25,1105.32,1.90604,1.01808,1.61852,0.67989,0.76617,0.71559,0.26859,2.1957,1.09943,1.92249,0.00127092,0.00127092,0.00127092
26,1149.1,1.90405,1.02499,1.62879,0.69446,0.74291,0.68479,0.24987,2.20988,1.11341,1.94066,0.00125442,0.00125442,0.00125442
27,1192.91,1.90073,1.01046,1.62523,0.69422,0.76372,0.73424,0.27499,2.20577,1.04486,1.93312,0.00123791,0.00123791,0.00123791
28,1236.96,1.90537,1.01271,1.62405,0.69373,0.74495,0.71924,0.27062,2.20347,1.08595,1.93074,0.00122141,0.00122141,0.00122141
29,1280.76,1.90272,0.98759,1.62563,0.70718,0.74067,0.7322,0.27647,2.19573,1.05776,1.93593,0.00120491,0.00120491,0.00120491
30,1324.54,1.89333,0.99568,1.61654,0.6903,0.76025,0.72774,0.27431,2.18059,1.06135,1.91085,0.0011884,0.0011884,0.0011884
31,1368.39,1.89109,0.99935,1.6197,0.67847,0.77535,0.71231,0.26502,2.20262,1.0804,1.93867,0.0011719,0.0011719,0.0011719
32,1412.28,1.88964,0.9829,1.61127,0.70478,0.76672,0.74244,0.27902,2.19827,1.06075,1.93167,0.0011554,0.0011554,0.0011554
33,1456.32,1.88767,0.9906,1.60599,0.68604,0.74923,0.72133,0.27215,2.19889,1.11223,1.93059,0.00113889,0.00113889,0.00113889
34,1500.34,1.88014,0.97402,1.60552,0.70697,0.75087,0.74524,0.28188,2.18962,1.07554,1.91603,0.00112239,0.00112239,0.00112239
35,1544.31,1.87616,0.99096,1.6041,0.68039,0.76107,0.72294,0.27629,2.1876,1.06717,1.92934,0.00110589,0.00110589,0.00110589
36,1588.31,1.88374,0.97472,1.60304,0.7029,0.76659,0.73464,0.27633,2.19716,1.03767,1.92568,0.00108938,0.00108938,0.00108938
37,1632.22,1.87668,0.97386,1.60784,0.68962,0.7527,0.70998,0.26359,2.2127,1.05351,1.95253,0.00107288,0.00107288,0.00107288
38,1676.14,1.86123,0.95726,1.60859,0.7009,0.75107,0.72869,0.27138,2.20396,1.06349,1.94416,0.00105638,0.00105638,0.00105638
39,1720.08,1.87024,0.97036,1.60122,0.70247,0.76331,0.72667,0.27094,2.20646,1.04405,1.93062,0.00103987,0.00103987,0.00103987
40,1763.95,1.85856,0.96157,1.60354,0.70944,0.76189,0.73264,0.26991,2.20282,1.06367,1.93754,0.00102337,0.00102337,0.00102337
41,1807.93,1.86134,0.95657,1.59074,0.71722,0.74936,0.73726,0.27236,2.20972,1.04699,1.95513,0.00100687,0.00100687,0.00100687
